coord_x,coord_y,timestamp_unix_ns,timestamp_readable,anchor_0_local_x,anchor_0_local_y,anchor_0_local_z,anchor_0_distance_m,anchor_0_azimuth_deg,anchor_0_elevation_deg,anchor_0_data_age_ms,anchor_1_local_x,anchor_1_local_y,anchor_1_local_z,anchor_1_distance_m,anchor_1_azimuth_deg,anchor_1_elevation_deg,anchor_1_data_age_ms,anchor_2_local_x,anchor_2_local_y,anchor_2_local_z,anchor_2_distance_m,anchor_2_azimuth_deg,anchor_2_elevation_deg,anchor_2_data_age_ms,anchor_3_local_x,anchor_3_local_y,anchor_3_local_z,anchor_3_distance_m,anchor_3_azimuth_deg,anchor_3_elevation_deg,anchor_3_data_age_ms
2,0,1758015496360497171,2025-09-16 17:38:16.360,,,,,,,,430.2427,-410.5746,-39.1879,596.0000,43.66,3.77,409.2,,,,,,,,,,,,,,
2,0,1758015496378883380,2025-09-16 17:38:16.378,681.6383,167.6787,-38.2379,703.0000,-13.82,3.12,446.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015496354161133,2025-09-16 17:38:16.354,,,,,,,,,,,,,,,,,,,,,,63.1033,-45.8472,-135.1000,156.0000,36.00,60.00,471.2
2,0,1758015496479484008,2025-09-16 17:38:16.479,,,,,,,,,,,,,,,197.1958,229.9911,-219.3033,374.0000,-49.39,35.90,457.5,,,,,,,
2,0,1758015496540790456,2025-09-16 17:38:16.540,679.1566,163.6781,-68.9909,702.0000,-13.55,5.64,445.9,,,,,,,,,,,,,,,,,,,,,
2,0,1758015496556640093,2025-09-16 17:38:16.556,,,,,,,,,,,,,,,,,,,,,,61.8898,-44.9656,-132.5019,153.0000,36.00,60.00,481.2
2,0,1758015496638097469,2025-09-16 17:38:16.638,,,,,,,,,,,,,,,191.7445,213.7403,-244.2911,377.0000,-48.10,40.39,458.4,,,,,,,
2,0,1758015496726722274,2025-09-16 17:38:16.726,,,,,,,,443.4969,-389.6216,-88.9635,597.0000,41.30,8.57,416.9,,,,,,,,,,,,,,
2,0,1758015496753454997,2025-09-16 17:38:16.753,,,,,,,,,,,,,,,,,,,,,,45.2890,-61.6535,-132.5019,153.0000,53.70,60.00,444.9
2,0,1758015496804544364,2025-09-16 17:38:16.804,,,,,,,,,,,,,,,183.2708,204.2802,-257.0163,376.0000,-48.10,43.12,458.5,,,,,,,
2,0,1758015496864800036,2025-09-16 17:38:16.864,683.9574,146.7776,-25.6628,700.0000,-12.11,2.10,458.4,,,,,,,,,,,,,,,,,,,,,
2,0,1758015496950032763,2025-09-16 17:38:16.950,,,,,,,,,,,,,,,,,,,,,,63.1033,-45.8472,-135.1000,156.0000,36.00,60.00,442.9
2,0,1758015496961899751,2025-09-16 17:38:16.961,,,,,,,,,,,,,,,194.1536,219.6823,-232.2069,374.0000,-48.53,38.38,494.2,,,,,,,
2,0,1758015497026820391,2025-09-16 17:38:17.026,680.6139,158.5591,-40.2948,700.0000,-13.11,3.30,429.4,,,,,,,,,,,,,,,,,,,,,
2,0,1758015497087206070,2025-09-16 17:38:17.087,,,,,,,,424.5901,-414.3401,-82.7435,599.0000,44.30,7.94,415.5,,,,,,,,,,,,,,
2,0,1758015497129528110,2025-09-16 17:38:17.129,,,,,,,,,,,,,,,200.1574,231.2474,-218.7181,376.0000,-49.12,35.57,453.9,,,,,,,
2,0,1758015497188808967,2025-09-16 17:38:17.188,678.1618,157.9130,-71.8332,700.0000,-13.11,5.89,450.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015497262975869,2025-09-16 17:38:17.262,,,,,,,,418.3090,-420.1529,-109.9915,603.0000,45.13,10.51,423.9,,,,,,,,,,,,,,
2,0,1758015497290345573,2025-09-16 17:38:17.290,,,,,,,,,,,,,,,198.8523,221.7413,-235.9842,380.0000,-48.12,38.39,457.3,,,,,,,
2,0,1758015497348200512,2025-09-16 17:38:17.348,,,,,,,,,,,,,,,,,,,,,,61.0808,-44.3778,-130.7698,151.0000,36.00,60.00,457.8
2,0,1758015497443666654,2025-09-16 17:38:17.443,,,,,,,,416.5996,-409.9633,-116.5799,596.0000,44.54,11.28,424.6,,,,,,,,,,,,,,
2,0,1758015497447772311,2025-09-16 17:38:17.447,,,,,,,,,,,,,,,186.5603,198.4582,-259.2019,376.0000,-46.77,43.58,476.8,,,,,,,
2,0,1758015497512816970,2025-09-16 17:38:17.512,683.4072,137.3026,-64.0511,700.0000,-11.36,5.25,412.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015497543116748,2025-09-16 17:38:17.543,,,,,,,,,,,,,,,,,,,,,,40.4613,-65.5125,-133.3679,154.0000,58.30,60.00,444.5
2,0,1758015497627311116,2025-09-16 17:38:17.627,,,,,,,,447.6831,-390.7315,-67.1770,598.0000,41.11,6.45,415.3,,,,,,,,,,,,,,
2,0,1758015497614266558,2025-09-16 17:38:17.614,,,,,,,,,,,,,,,169.2599,206.0603,-262.2332,374.0000,-50.60,44.52,474.2,,,,,,,
2,0,1758015497674839509,2025-09-16 17:38:17.674,679.2227,161.5631,-50.5356,700.0000,-13.38,4.14,413.8,,,,,,,,,,,,,,,,,,,,,
