coord_x,coord_y,timestamp_unix_ns,timestamp_readable,anchor_0_local_x,anchor_0_local_y,anchor_0_local_z,anchor_0_distance_m,anchor_0_azimuth_deg,anchor_0_elevation_deg,anchor_0_data_age_ms,anchor_1_local_x,anchor_1_local_y,anchor_1_local_z,anchor_1_distance_m,anchor_1_azimuth_deg,anchor_1_elevation_deg,anchor_1_data_age_ms,anchor_2_local_x,anchor_2_local_y,anchor_2_local_z,anchor_2_distance_m,anchor_2_azimuth_deg,anchor_2_elevation_deg,anchor_2_data_age_ms,anchor_3_local_x,anchor_3_local_y,anchor_3_local_z,anchor_3_distance_m,anchor_3_azimuth_deg,anchor_3_elevation_deg,anchor_3_data_age_ms
2,0,1758015508306734924,2025-09-16 17:38:28.306,,,,,,,,,,,,,,,92.8072,159.4587,-319.5634,369.0000,-59.80,60.00,1419.6,,,,,,,
2,0,1758015508367121298,2025-09-16 17:38:28.367,673.7727,165.6192,-15.3817,694.0000,-13.81,1.27,1359.5,,,,,,,,,,,,,,,,,,,,,
2,0,1758015508427110961,2025-09-16 17:38:28.427,,,,,,,,523.5893,-143.9256,-277.9203,610.0000,15.37,27.10,1299.8,,,,,,,,,,,,,,
2,0,1758015508436818561,2025-09-16 17:38:28.436,,,,,,,,,,,,,,,,,,,,,,49.0339,-55.4227,-128.1718,148.0000,48.50,60.00,1290.3
2,0,1758015508529122937,2025-09-16 17:38:28.529,680.7642,160.9258,25.7483,700.0000,-13.30,-2.11,1198.2,,,,,,,,,,,,,,,,,,,,,
2,0,1758015508464098941,2025-09-16 17:38:28.464,,,,,,,,,,,,,,,95.2063,159.2043,-321.2954,371.0000,-59.12,60.00,1263.3,,,,,,,
2,0,1758015508608302260,2025-09-16 17:38:28.608,,,,,,,,531.8339,-115.3753,-266.6031,606.0000,12.24,26.10,1119.3,,,,,,,,,,,,,,
2,0,1758015508634412559,2025-09-16 17:38:28.634,,,,,,,,,,,,,,,,,,,,,,51.3201,-54.0046,-129.0378,149.0000,46.46,60.00,1093.3
2,0,1758015508691108242,2025-09-16 17:38:28.691,672.2256,176.3551,53.1093,697.0000,-14.70,-4.37,1036.7,,,,,,,,,,,,,,,,,,,,,
2,0,1758015508783193859,2025-09-16 17:38:28.783,,,,,,,,518.3220,-118.9020,-288.4954,605.0000,12.92,28.48,944.7,,,,,,,,,,,,,,
2,0,1758015508789872397,2025-09-16 17:38:28.789,,,,,,,,,,,,,,,148.8591,108.1525,-318.6973,368.0000,-36.00,60.00,938.1,,,,,,,
2,0,1758015508853112566,2025-09-16 17:38:28.853,677.3681,167.1299,-21.0723,698.0000,-13.86,1.73,875.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015508828064130,2025-09-16 17:38:28.828,,,,,,,,,,,,,,,,,,,,,,51.6481,-53.6910,-129.0378,149.0000,46.11,60.00,900.1
2,0,1758015508963537754,2025-09-16 17:38:28.963,,,,,,,,538.1003,-179.3151,-207.6299,604.0000,18.43,20.11,764.8,,,,,,,,,,,,,,
2,0,1758015508951756862,2025-09-16 17:38:28.951,,,,,,,,,,,,,,,94.5665,159.5852,-321.2954,371.0000,-59.35,60.00,776.7,,,,,,,
2,0,1758015509015134909,2025-09-16 17:38:29.015,675.4640,158.9262,-11.2642,694.0000,-13.24,0.93,723.7,,,,,,,,,,,,,,,,,,,,,
2,0,1758015509028948934,2025-09-16 17:38:29.028,,,,,,,,,,,,,,,,,,,,,,51.3024,-53.3297,-128.1718,148.0000,46.11,60.00,710.2
2,0,1758015509146714805,2025-09-16 17:38:29.146,,,,,,,,539.0565,-115.7212,-244.2042,603.0000,12.12,23.89,593.2,,,,,,,,,,,,,,
2,0,1758015509116406248,2025-09-16 17:38:29.116,,,,,,,,,,,,,,,124.4583,138.2249,-322.1615,372.0000,-48.00,60.00,623.8,,,,,,,
2,0,1758015509177105639,2025-09-16 17:38:29.177,677.5127,157.9364,-42.9151,697.0000,-13.12,3.53,563.2,,,,,,,,,,,,,,,,,,,,,
2,0,1758015509227271421,2025-09-16 17:38:29.227,,,,,,,,,,,,,,,,,,,,,,50.8812,-55.1008,-129.9038,150.0000,47.28,60.00,513.2
2,0,1758015509325741763,2025-09-16 17:38:29.325,,,,,,,,541.1717,-116.0567,-251.6506,608.0000,12.10,24.45,414.8,,,,,,,,,,,,,,
2,0,1758015509339153240,2025-09-16 17:38:29.339,674.1539,176.4837,-13.3806,697.0000,-14.67,1.10,411.5,,,,,,,,,,,,,,,,,,,,,
2,0,1758015509419363911,2025-09-16 17:38:29.419,,,,,,,,,,,,,,,,,,,,,,54.1298,-51.1880,-129.0378,149.0000,43.40,60.00,632.8
2,0,1758015509440270641,2025-09-16 17:38:29.440,,,,,,,,,,,,,,,96.4143,157.8901,-320.4294,370.0000,-58.59,60.00,612.0,,,,,,,
2,0,1758015509501127933,2025-09-16 17:38:29.501,676.9856,157.6641,-35.3340,696.0000,-13.11,2.91,551.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015509600742277,2025-09-16 17:38:29.600,,,,,,,,,,,,,,,149.6681,108.7403,-320.4294,370.0000,-36.00,60.00,505.3,,,,,,,
2,0,1758015509687070296,2025-09-16 17:38:29.687,,,,,,,,528.4752,-125.9006,-272.9963,608.0000,13.40,26.68,419.1,,,,,,,,,,,,,,
2,0,1758015509825131061,2025-09-16 17:38:29.825,676.8787,157.5769,-5.4585,695.0000,-13.11,0.45,1174.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015509759650899,2025-09-16 17:38:29.759,,,,,,,,,,,,,,,95.2163,160.3624,-323.0275,373.0000,-59.30,60.00,1239.7,,,,,,,
2,0,1758015509926097369,2025-09-16 17:38:29.926,,,,,,,,,,,,,,,96.7302,158.2830,-321.2954,371.0000,-58.57,60.00,1073.8,,,,,,,
2,0,1758015509987133439,2025-09-16 17:38:29.987,674.0234,161.4455,-51.5054,695.0000,-13.47,4.25,1013.1,,,,,,,,,,,,,,,,,,,,,
2,0,1758015510047392621,2025-09-16 17:38:30.047,,,,,,,,544.1641,-131.3456,-237.2715,608.0000,13.57,22.97,953.0,,,,,,,,,,,,,,
2,0,1758015510084552813,2025-09-16 17:38:30.084,,,,,,,,,,,,,,,94.2005,159.2208,-320.4294,370.0000,-59.39,60.00,916.0,,,,,,,
2,0,1758015510149149095,2025-09-16 17:38:30.149,680.5981,158.5054,-16.2243,699.0000,-13.11,1.33,851.5,,,,,,,,,,,,,,,,,,,,,
2,0,1758015510222007557,2025-09-16 17:38:30.222,,,,,,,,506.3766,-171.9903,-299.6182,613.0000,18.76,29.26,778.7,,,,,,,,,,,,,,
2,0,1758015510218157592,2025-09-16 17:38:30.218,,,,,,,,,,,,,,,,,,,,,,49.0734,-57.3764,-130.7698,151.0000,49.46,60.00,794.0
2,0,1758015510249972372,2025-09-16 17:38:30.249,,,,,,,,,,,,,,,150.0727,109.0342,-321.2954,371.0000,-36.00,60.00,762.4,,,,,,,
2,0,1758015510311184676,2025-09-16 17:38:30.311,677.8195,157.7335,-9.8391,696.0000,-13.10,0.81,701.4,,,,,,,,,,,,,,,,,,,,,
2,0,1758015510403929913,2025-09-16 17:38:30.403,,,,,,,,517.1029,-115.5862,-296.1308,607.0000,12.60,29.20,608.8,,,,,,,,,,,,,,
2,0,1758015510411930506,2025-09-16 17:38:30.411,,,,,,,,,,,,,,,,,,,,,,49.0649,-58.0399,-131.6359,152.0000,49.79,60.00,600.9
2,0,1758015510473173424,2025-09-16 17:38:30.473,674.8462,169.7601,-13.4221,696.0000,-14.12,1.10,539.8,,,,,,,,,,,,,,,,,,,,,
2,0,1758015510587574839,2025-09-16 17:38:30.587,,,,,,,,513.6652,-107.2167,-301.1273,605.0000,11.79,29.85,432.4,,,,,,,,,,,,,,
2,0,1758015510573984559,2025-09-16 17:38:30.573,,,,,,,,,,,,,,,95.2119,159.2010,-321.2954,371.0000,-59.12,60.00,452.7,,,,,,,
