coord_x,coord_y,timestamp_unix_ns,timestamp_readable,anchor_0_local_x,anchor_0_local_y,anchor_0_local_z,anchor_0_distance_m,anchor_0_azimuth_deg,anchor_0_elevation_deg,anchor_0_data_age_ms,anchor_1_local_x,anchor_1_local_y,anchor_1_local_z,anchor_1_distance_m,anchor_1_azimuth_deg,anchor_1_elevation_deg,anchor_1_data_age_ms,anchor_2_local_x,anchor_2_local_y,anchor_2_local_z,anchor_2_distance_m,anchor_2_azimuth_deg,anchor_2_elevation_deg,anchor_2_data_age_ms,anchor_3_local_x,anchor_3_local_y,anchor_3_local_z,anchor_3_distance_m,anchor_3_azimuth_deg,anchor_3_elevation_deg,anchor_3_data_age_ms
2,0,1758015522722974067,2025-09-16 17:38:42.722,,,,,,,,,,,,,,,115.9752,158.1123,-312.5880,369.0000,-53.74,57.90,504.6,,,,,,,
2,0,1758015522784505410,2025-09-16 17:38:42.784,688.1026,110.4995,38.8418,698.0000,-9.12,-3.19,443.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015522886481941,2025-09-16 17:38:42.886,,,,,,,,,,,,,,,,,,,,,,62.8783,-41.7920,-130.7698,151.0000,33.61,60.00,446.1
2,0,1758015522947561100,2025-09-16 17:38:42.947,679.9367,141.5509,58.8083,697.0000,-11.76,-4.84,432.9,,,,,,,,,,,,,,,,,,,,,
2,0,1758015523005894971,2025-09-16 17:38:43.005,,,,,,,,490.7798,-186.1358,-316.6349,613.0000,20.77,31.10,431.4,,,,,,,,,,,,,,
2,0,1758015523048605488,2025-09-16 17:38:43.048,,,,,,,,,,,,,,,110.9934,155.6644,-314.4408,368.0000,-54.51,58.70,455.0,,,,,,,
2,0,1758015523108530011,2025-09-16 17:38:43.108,688.8280,99.6298,-2.4295,696.0000,-8.23,0.20,449.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015523087313943,2025-09-16 17:38:43.087,,,,,,,,,,,,,,,,,,,,,,61.5861,-41.0262,-128.1718,148.0000,33.67,60.00,470.4
2,0,1758015523186229647,2025-09-16 17:38:43.186,,,,,,,,501.3873,-172.5436,-295.4462,607.0000,18.99,29.13,419.2,,,,,,,,,,,,,,
2,0,1758015523206028060,2025-09-16 17:38:43.206,,,,,,,,,,,,,,,120.8866,167.1395,-307.1658,370.0000,-54.12,56.12,453.1,,,,,,,
2,0,1758015523270542635,2025-09-16 17:38:43.270,677.2412,139.0177,47.6173,693.0000,-11.60,-3.94,439.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015523286049312,2025-09-16 17:38:43.286,,,,,,,,,,,,,,,,,,,,,,63.1613,-41.3631,-130.7698,151.0000,33.22,60.00,489.4
2,0,1758015523367868505,2025-09-16 17:38:43.367,,,,,,,,512.5652,-132.5584,-294.8579,606.0000,14.50,29.11,465.8,,,,,,,,,,,,,,
2,0,1758015523373295405,2025-09-16 17:38:43.373,,,,,,,,,,,,,,,108.8134,150.3695,-317.7620,368.0000,-54.11,59.71,460.6,,,,,,,
