coord_x,coord_y,timestamp_unix_ns,timestamp_readable,anchor_0_local_x,anchor_0_local_y,anchor_0_local_z,anchor_0_distance_m,anchor_0_azimuth_deg,anchor_0_elevation_deg,anchor_0_data_age_ms,anchor_1_local_x,anchor_1_local_y,anchor_1_local_z,anchor_1_distance_m,anchor_1_azimuth_deg,anchor_1_elevation_deg,anchor_1_data_age_ms,anchor_2_local_x,anchor_2_local_y,anchor_2_local_z,anchor_2_distance_m,anchor_2_azimuth_deg,anchor_2_elevation_deg,anchor_2_data_age_ms,anchor_3_local_x,anchor_3_local_y,anchor_3_local_z,anchor_3_distance_m,anchor_3_azimuth_deg,anchor_3_elevation_deg,anchor_3_data_age_ms
2,0,1758015535364179789,2025-09-16 17:38:55.364,,,,,,,,,,,,,,,,,,,,,,65.5266,-40.4384,-133.3679,154.0000,31.68,60.00,447.9
2,0,1758015535420724939,2025-09-16 17:38:55.420,687.9559,79.5992,44.9063,694.0000,-6.60,-3.71,448.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015535519276181,2025-09-16 17:38:55.519,,,,,,,,,,,,,,,200.5480,225.8827,-206.6725,366.0000,-48.40,34.38,458.7,,,,,,,
2,0,1758015535582768626,2025-09-16 17:38:55.582,685.1566,107.4152,-25.6607,694.0000,-8.91,2.12,444.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015535683872846,2025-09-16 17:38:55.683,,,,,,,,,,,,,,,205.0516,233.3232,-199.1861,369.0000,-48.69,32.67,458.6,,,,,,,
2,0,1758015535759763749,2025-09-16 17:38:55.759,,,,,,,,,,,,,,,,,,,,,,67.2707,-37.4654,-133.3679,154.0000,29.11,60.00,445.4
2,0,1758015535845949919,2025-09-16 17:38:55.845,,,,,,,,,,,,,,,210.1090,226.2784,-196.4900,366.0000,-47.12,32.47,460.1,,,,,,,
2,0,1758015535906741369,2025-09-16 17:38:55.906,693.4956,67.5091,17.7589,697.0000,-5.56,-1.46,449.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015535958460814,2025-09-16 17:38:55.958,,,,,,,,,,,,,,,,,,,,,,65.9379,-40.7241,-134.2339,155.0000,31.70,60.00,445.7
2,0,1758015536003129550,2025-09-16 17:38:56.003,,,,,,,,,,,,,,,200.1488,224.2477,-208.8287,366.0000,-48.25,34.79,453.5,,,,,,,
2,0,1758015536068767648,2025-09-16 17:38:56.068,678.4560,138.8969,25.5754,693.0000,-11.57,-2.12,437.4,,,,,,,,,,,,,,,,,,,,,
2,0,1758015536155826406,2025-09-16 17:38:56.155,,,,,,,,,,,,,,,,,,,,,,64.1689,-40.7228,-131.6359,152.0000,32.40,60.00,446.6
2,0,1758015536169825868,2025-09-16 17:38:56.169,,,,,,,,,,,,,,,200.7749,234.0001,-193.4668,364.0000,-49.37,32.11,481.9,,,,,,,
