coord_x,coord_y,timestamp_unix_ns,timestamp_readable,anchor_0_local_x,anchor_0_local_y,anchor_0_local_z,anchor_0_distance_m,anchor_0_azimuth_deg,anchor_0_elevation_deg,anchor_0_data_age_ms,anchor_1_local_x,anchor_1_local_y,anchor_1_local_z,anchor_1_distance_m,anchor_1_azimuth_deg,anchor_1_elevation_deg,anchor_1_data_age_ms,anchor_2_local_x,anchor_2_local_y,anchor_2_local_z,anchor_2_distance_m,anchor_2_azimuth_deg,anchor_2_elevation_deg,anchor_2_data_age_ms,anchor_3_local_x,anchor_3_local_y,anchor_3_local_z,anchor_3_distance_m,anchor_3_azimuth_deg,anchor_3_elevation_deg,anchor_3_data_age_ms
2,0,1758015545565971768,2025-09-16 17:39:05.565,,,,,,,,,,,,,,,232.5881,242.7101,-136.9802,363.0000,-46.22,22.17,458.4,,,,,,,
2,0,1758015545659348261,2025-09-16 17:39:05.659,,,,,,,,,,,,,,,,,,,,,,41.5243,-51.9421,-115.1814,133.0000,51.36,60.00,461.8
2,0,1758015545723277193,2025-09-16 17:39:05.723,,,,,,,,,,,,,,,231.7527,244.9859,-136.9986,364.0000,-46.59,22.11,457.6,,,,,,,
2,0,1758015545853860966,2025-09-16 17:39:05.853,,,,,,,,,,,,,,,,,,,,,,55.4177,-40.2633,-118.6455,137.0000,36.00,60.00,451.2
2,0,1758015545889693774,2025-09-16 17:39:05.889,,,,,,,,,,,,,,,224.6830,249.0108,-133.5371,361.0000,-47.94,21.71,470.9,,,,,,,
2,0,1758015546052470676,2025-09-16 17:39:06.052,,,,,,,,,,,,,,,,,,,,,,45.9328,-48.7768,-116.0474,134.0000,46.72,60.00,446.2
2,0,1758015546213645647,2025-09-16 17:39:06.213,,,,,,,,,,,,,,,230.8462,238.2980,-149.7333,364.0000,-45.91,24.29,456.9,,,,,,,
2,0,1758015546375856256,2025-09-16 17:39:06.375,,,,,,,,,,,,,,,225.4262,226.7679,-178.0880,366.0000,-45.17,29.12,452.8,,,,,,,
2,0,1758015546451410930,2025-09-16 17:39:06.451,,,,,,,,,,,,,,,,,,,,,,36.5020,-57.9642,-118.6455,137.0000,57.80,60.00,439.7
2,0,1758015546533923651,2025-09-16 17:39:06.533,,,,,,,,,,,,,,,226.8558,234.6700,-163.3751,365.0000,-45.97,26.59,484.8,,,,,,,
2,0,1758015546644433880,2025-09-16 17:39:06.644,,,,,,,,,,,,,,,,,,,,,,39.8589,-55.0933,-117.7795,136.0000,54.12,60.00,495.0
2,0,1758015546847666272,2025-09-16 17:39:06.847,,,,,,,,,,,,,,,,,,,,,,54.6086,-39.6755,-116.9134,135.0000,36.00,60.00,497.6
2,0,1758015546861412654,2025-09-16 17:39:06.861,,,,,,,,,,,,,,,228.7629,229.7071,-158.8180,361.0000,-45.12,26.10,538.9,,,,,,,
2,0,1758015547018638321,2025-09-16 17:39:07.018,,,,,,,,,,,,,,,229.8530,240.5274,-140.1254,361.0000,-46.30,22.84,530.5,,,,,,,
