coord_x,coord_y,timestamp_unix_ns,timestamp_readable,anchor_0_local_x,anchor_0_local_y,anchor_0_local_z,anchor_0_distance_m,anchor_0_azimuth_deg,anchor_0_elevation_deg,anchor_0_data_age_ms,anchor_1_local_x,anchor_1_local_y,anchor_1_local_z,anchor_1_distance_m,anchor_1_azimuth_deg,anchor_1_elevation_deg,anchor_1_data_age_ms,anchor_2_local_x,anchor_2_local_y,anchor_2_local_z,anchor_2_distance_m,anchor_2_azimuth_deg,anchor_2_elevation_deg,anchor_2_data_age_ms,anchor_3_local_x,anchor_3_local_y,anchor_3_local_z,anchor_3_distance_m,anchor_3_azimuth_deg,anchor_3_elevation_deg,anchor_3_data_age_ms
2,0,1758015557391471192,2025-09-16 17:39:17.391,,,,,,,,,,,,,,,110.2098,141.6829,-310.9031,359.0000,-52.12,60.00,474.8,,,,,,,
2,0,1758015557539920995,2025-09-16 17:39:17.539,,,,,,,,,,,,,,,,,,,,,,58.1166,-36.2589,-118.6455,137.0000,31.96,60.00,447.2
2,0,1758015557548888115,2025-09-16 17:39:17.548,,,,,,,,,,,,,,,208.2205,243.6226,180.8764,368.0000,-49.48,-29.44,492.4,,,,,,,
2,0,1758015557715368343,2025-09-16 17:39:17.715,,,,,,,,,,,,,,,206.5148,267.5848,148.0238,369.0000,-52.34,-23.65,457.1,,,,,,,
2,0,1758015557877367955,2025-09-16 17:39:17.877,,,,,,,,,,,,,,,215.4032,279.9088,-95.9612,366.0000,-52.42,15.20,463.5,,,,,,,
2,0,1758015557934476611,2025-09-16 17:39:17.934,,,,,,,,,,,,,,,,,,,,,,59.8846,-39.0651,-123.8416,143.0000,33.12,60.00,519.2
2,0,1758015558100310128,2025-09-16 17:39:18.100,685.4281,122.4019,31.8610,697.0000,-10.12,-2.62,414.5,,,,,,,,,,,,,,,,,,,,,
2,0,1758015558133217029,2025-09-16 17:39:18.133,,,,,,,,,,,,,,,,,,,,,,59.0768,-37.5491,-121.2436,140.0000,32.44,60.00,443.3
2,0,1758015558201141738,2025-09-16 17:39:18.201,,,,,,,,,,,,,,,207.0170,246.3637,180.5821,369.0000,-49.96,-29.30,455.3,,,,,,,
2,0,1758015558331826558,2025-09-16 17:39:18.331,,,,,,,,,,,,,,,,,,,,,,60.7849,-38.5901,-124.7077,144.0000,32.41,60.00,449.8
2,0,1758015558358496922,2025-09-16 17:39:18.358,,,,,,,,,,,,,,,215.7168,267.6274,131.3996,368.0000,-51.13,-20.92,471.9,,,,,,,
2,0,1758015558523406564,2025-09-16 17:39:18.523,,,,,,,,,,,,,,,,,,,,,,57.7367,-37.7819,-119.5115,138.0000,33.20,60.00,449.0
2,0,1758015558687982246,2025-09-16 17:39:18.687,,,,,,,,,,,,,,,232.8716,280.0971,70.4087,371.0000,-50.26,-10.94,517.5,,,,,,,
2,0,1758015558844330001,2025-09-16 17:39:18.844,,,,,,,,,,,,,,,204.8035,282.9249,-119.0380,369.0000,-54.10,18.82,481.3,,,,,,,
2,0,1758015558910314713,2025-09-16 17:39:18.910,705.9621,102.9887,28.4051,714.0000,-8.30,-2.28,415.5,,,,,,,,,,,,,,,,,,,,,
2,0,1758015558925958364,2025-09-16 17:39:18.925,,,,,,,,,,,,,,,,,,,,,,57.7363,-35.9237,-117.7795,136.0000,31.89,60.00,506.0
2,0,1758015559011851120,2025-09-16 17:39:19.011,,,,,,,,,,,,,,,180.4230,281.0378,128.9546,358.0000,-57.30,-21.11,528.4,,,,,,,
2,0,1758015559072302396,2025-09-16 17:39:19.072,708.1765,71.0599,-19.5075,712.0000,-5.73,1.57,468.2,,,,,,,,,,,,,,,,,,,,,
2,0,1758015559123449497,2025-09-16 17:39:19.123,,,,,,,,,,,,,,,,,,,,,,59.4306,-38.8459,-122.9756,142.0000,33.17,60.00,467.1
2,0,1758015559171924836,2025-09-16 17:39:19.171,,,,,,,,,,,,,,,134.9865,123.5623,316.9653,366.0000,-42.47,-60.00,567.9,,,,,,,
2,0,1758015559331195953,2025-09-16 17:39:19.331,,,,,,,,,,,,,,,258.5344,260.8915,52.3128,371.0000,-45.26,-8.11,510.3,,,,,,,
2,0,1758015559519915623,2025-09-16 17:39:19.519,,,,,,,,,,,,,,,,,,,,,,57.9534,-37.4487,-119.5115,138.0000,32.87,60.00,503.3
2,0,1758015559656957465,2025-09-16 17:39:19.656,,,,,,,,,,,,,,,254.0329,264.1730,19.2073,367.0000,-46.12,-3.00,486.1,,,,,,,
2,0,1758015559717005397,2025-09-16 17:39:19.717,,,,,,,,,,,,,,,,,,,,,,58.0953,-38.1469,-120.3775,139.0000,33.29,60.00,533.4
2,0,1758015559821489167,2025-09-16 17:39:19.821,,,,,,,,,,,,,,,226.1421,261.2497,-114.4742,364.0000,-49.12,18.33,534.4,,,,,,,
2,0,1758015559913875117,2025-09-16 17:39:19.913,,,,,,,,,,,,,,,,,,,,,,57.6376,-37.9329,-119.5115,138.0000,33.35,60.00,511.5
2,0,1758015559983349726,2025-09-16 17:39:19.983,,,,,,,,,,,,,,,212.8627,277.4080,-93.6925,362.0000,-52.50,15.00,574.0,,,,,,,
2,0,1758015560109508525,2025-09-16 17:39:20.109,,,,,,,,,,,,,,,,,,,,,,59.0719,-35.6583,-119.5115,138.0000,31.12,60.00,550.1
2,0,1758015560140690854,2025-09-16 17:39:20.140,,,,,,,,,,,,,,,232.4827,275.9843,10.2687,361.0000,-49.89,-1.63,519.1,,,,,,,
2,0,1758015560308830808,2025-09-16 17:39:20.308,,,,,,,,,,,,,,,,,,,,,,57.3184,-37.5081,-118.6455,137.0000,33.20,60.00,447.9
2,0,1758015560466592567,2025-09-16 17:39:20.466,,,,,,,,,,,,,,,210.4592,282.8676,-101.8914,367.0000,-53.35,16.12,489.7,,,,,,,
2,0,1758015560623771754,2025-09-16 17:39:20.623,,,,,,,,524.0007,-268.3756,-215.7007,627.0000,27.12,20.12,444.4,,,,,,,,,,,,,,
2,0,1758015560628496792,2025-09-16 17:39:20.628,,,,,,,,,,,,,,,217.4545,229.7909,-180.0158,364.0000,-46.58,29.64,540.7,,,,,,,
2,0,1758015560707822926,2025-09-16 17:39:20.707,,,,,,,,,,,,,,,,,,,,,,58.3934,-35.8115,-118.6455,137.0000,31.52,60.00,461.5
2,0,1758015560792959236,2025-09-16 17:39:20.792,,,,,,,,,,,,,,,238.1183,283.1756,-3.3580,370.0000,-49.94,0.52,453.7,,,,,,,
2,0,1758015560906514736,2025-09-16 17:39:20.906,,,,,,,,,,,,,,,,,,,,,,57.6951,-36.9259,-118.6455,137.0000,32.62,60.00,464.0
2,0,1758015560950421548,2025-09-16 17:39:20.950,,,,,,,,,,,,,,,236.3961,277.7645,40.6545,367.0000,-49.60,-6.36,526.0,,,,,,,
2,0,1758015561103412417,2025-09-16 17:39:21.103,,,,,,,,,,,,,,,,,,,,,,58.5831,-37.3935,-120.3775,139.0000,32.55,60.00,477.3
2,0,1758015561168586931,2025-09-16 17:39:21.168,,,,,,,,476.0285,-287.4535,-283.0960,624.0000,31.13,26.98,412.2,,,,,,,,,,,,,,
2,0,1758015561278186658,2025-09-16 17:39:21.278,,,,,,,,,,,,,,,249.8633,269.8278,13.6133,368.0000,-47.20,-2.12,486.7,,,,,,,
2,0,1758015561437106892,2025-09-16 17:39:21.437,,,,,,,,,,,,,,,241.9403,272.6955,18.0847,365.0000,-48.42,-2.84,453.8,,,,,,,
2,0,1758015561499203254,2025-09-16 17:39:21.499,,,,,,,,,,,,,,,,,,,,,,58.1357,-39.8809,-122.1096,141.0000,34.45,60.00,489.2
2,0,1758015561603670507,2025-09-16 17:39:21.603,,,,,,,,,,,,,,,211.0507,284.5949,-87.6832,365.0000,-53.44,13.90,485.7,,,,,,,
2,0,1758015561696513226,2025-09-16 17:39:21.696,,,,,,,,,,,,,,,,,,,,,,58.6376,-38.2312,-121.2436,140.0000,33.10,60.00,451.7
2,0,1758015561761119041,2025-09-16 17:39:21.761,,,,,,,,,,,,,,,230.1283,242.6743,-141.1353,363.0000,-46.52,22.88,538.6,,,,,,,
2,0,1758015561892750744,2025-09-16 17:39:21.892,,,,,,,,,,,,,,,,,,,,,,57.8612,-38.5011,-120.3775,139.0000,33.64,60.00,459.0
2,0,1758015561927500104,2025-09-16 17:39:21.927,,,,,,,,,,,,,,,145.0754,148.6124,-297.7188,363.0000,-45.69,55.10,574.1,,,,,,,
2,0,1758015562093343390,2025-09-16 17:39:22.093,,,,,,,,,,,,,,,,,,,,,,59.8808,-38.1483,-122.9756,142.0000,32.50,60.00,518.2
2,0,1758015562245851225,2025-09-16 17:39:22.245,,,,,,,,520.8514,-307.4175,-169.0928,628.0000,30.55,15.62,458.9,,,,,,,,,,,,,,
2,0,1758015562248694020,2025-09-16 17:39:22.248,,,,,,,,,,,,,,,247.6423,266.7001,6.3527,364.0000,-47.12,-1.00,508.4,,,,,,,
4,0,1758015677916729651,2025-09-16 17:41:17.916,,,,,,,,,,,,,,,75.9367,-128.1976,258.0756,298.0000,59.36,-60.00,457.0,,,,,,,
4,0,1758015677978740211,2025-09-16 17:41:17.978,652.0454,44.3377,-24.2273,654.0000,-3.89,2.12,458.7,,,,,,,,,,,,,,,,,,,,,
4,0,1758015678078448693,2025-09-16 17:41:18.078,,,,,,,,,,,,,,,116.4984,-84.6411,249.4153,288.0000,36.00,-60.00,458.4,,,,,,,
4,0,1758015678140755020,2025-09-16 17:41:18.140,623.2651,178.7184,-28.3090,649.0000,-16.00,2.50,449.0,,,,,,,,,,,,,,,,,,,,,
4,0,1758015678120149919,2025-09-16 17:41:18.120,,,,,,,,,,,,,,,,,,,,,,183.2541,-151.2243,-33.8992,240.0000,39.53,8.12,469.8
4,0,1758015678235970318,2025-09-16 17:41:18.235,,,,,,,,,,,,,,,106.7902,-77.5877,228.6307,264.0000,36.00,-60.00,457.8,,,,,,,
4,0,1758015678348674604,2025-09-16 17:41:18.348,,,,,,,,573.0300,-102.2373,-311.1015,660.0000,10.12,28.12,404.9,,,,,,,,,,,,,,
4,0,1758015678402504545,2025-09-16 17:41:18.402,,,,,,,,,,,,,,,88.5868,-119.8056,258.0756,298.0000,53.52,-60.00,455.2,,,,,,,
4,0,1758015678464731952,2025-09-16 17:41:18.464,635.4939,159.7311,-59.9793,658.0000,-14.11,5.23,457.1,,,,,,,,,,,,,,,,,,,,,
4,0,1758015678524401402,2025-09-16 17:41:18.524,,,,,,,,568.8900,-159.9078,-315.7430,670.0000,15.70,28.12,443.2,,,,,,,,,,,,,,
4,0,1758015678516232138,2025-09-16 17:41:18.516,,,,,,,,,,,,,,,,,,,,,,195.1673,-138.7494,16.0729,240.0000,35.41,-3.84,451.5
