coord_x,coord_y,timestamp_unix_ns,timestamp_readable,anchor_0_local_x,anchor_0_local_y,anchor_0_local_z,anchor_0_distance_m,anchor_0_azimuth_deg,anchor_0_elevation_deg,anchor_0_data_age_ms,anchor_1_local_x,anchor_1_local_y,anchor_1_local_z,anchor_1_distance_m,anchor_1_azimuth_deg,anchor_1_elevation_deg,anchor_1_data_age_ms,anchor_2_local_x,anchor_2_local_y,anchor_2_local_z,anchor_2_distance_m,anchor_2_azimuth_deg,anchor_2_elevation_deg,anchor_2_data_age_ms,anchor_3_local_x,anchor_3_local_y,anchor_3_local_z,anchor_3_distance_m,anchor_3_azimuth_deg,anchor_3_elevation_deg,anchor_3_data_age_ms
2,0,1758015570187747120,2025-09-16 17:39:30.187,,,,,,,,,,,,,,,293.8857,206.6766,117.4733,378.0000,-35.12,-18.11,501.7,,,,,,,
2,0,1758015570250734412,2025-09-16 17:39:30.250,696.3569,146.1109,26.1276,712.0000,-11.85,-2.10,438.9,,,,,,,,,,,,,,,,,,,,,
2,0,1758015570342068857,2025-09-16 17:39:30.342,,,,,,,,437.4824,-330.9734,-245.4928,601.0000,37.11,24.11,409.4,,,,,,,,,,,,,,
2,0,1758015570346086400,2025-09-16 17:39:30.346,,,,,,,,,,,,,,,273.1086,255.6688,66.6720,380.0000,-43.11,-10.11,466.8,,,,,,,
2,0,1758015570408925978,2025-09-16 17:39:30.408,,,,,,,,,,,,,,,,,,,,,,66.2426,-17.4402,118.6455,137.0000,14.75,-60.00,474.1
2,0,1758015570522711245,2025-09-16 17:39:30.522,,,,,,,,422.9733,-406.1840,-160.5372,608.0000,43.84,15.31,423.2,,,,,,,,,,,,,,
2,0,1758015570513714092,2025-09-16 17:39:30.513,,,,,,,,,,,,,,,315.9399,206.0451,77.1517,385.0000,-33.11,-11.56,481.2,,,,,,,
2,0,1758015570574737369,2025-09-16 17:39:30.574,690.2466,169.1577,43.4666,712.0000,-13.77,-3.50,420.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015570607703407,2025-09-16 17:39:30.607,,,,,,,,,,,,,,,,,,,,,,66.4275,-16.7224,118.6455,137.0000,14.13,-60.00,450.4
2,0,1758015570707718683,2025-09-16 17:39:30.707,,,,,,,,517.9787,-348.0672,-122.6509,636.0000,33.90,11.12,411.6,,,,,,,,,,,,,,
2,0,1758015570670911056,2025-09-16 17:39:30.670,,,,,,,,,,,,,,,280.7310,220.3191,127.6345,379.0000,-38.12,-19.68,502.6,,,,,,,
2,0,1758015570805132338,2025-09-16 17:39:30.805,,,,,,,,,,,,,,,,,,,,,,67.5751,-18.2648,121.2436,140.0000,15.12,-60.00,442.9
2,0,1758015570887870649,2025-09-16 17:39:30.887,,,,,,,,415.8184,-378.3656,-194.8320,595.0000,42.30,19.11,412.3,,,,,,,,,,,,,,
2,0,1758015570898748844,2025-09-16 17:39:30.898,693.3765,159.1866,71.5103,715.0000,-12.93,-5.74,459.1,,,,,,,,,,,,,,,,,,,,,
2,0,1758015570999245731,2025-09-16 17:39:30.999,,,,,,,,,,,,,,,274.2224,203.3587,155.1525,375.0000,-36.56,-24.44,459.6,,,,,,,
2,0,1758015571060746239,2025-09-16 17:39:31.060,681.9702,163.7265,96.8211,708.0000,-13.50,-7.86,456.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015571156669321,2025-09-16 17:39:31.156,,,,,,,,,,,,,,,318.7909,200.7534,92.8140,388.0000,-32.20,-13.84,459.4,,,,,,,
2,0,1758015571221747420,2025-09-16 17:39:31.221,697.0188,142.0635,48.4949,713.0000,-11.52,-3.90,455.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015571201941248,2025-09-16 17:39:31.201,,,,,,,,,,,,,,,,,,,,,,69.7704,-10.1162,122.1096,141.0000,8.25,-60.00,475.0
2,0,1758015571323018959,2025-09-16 17:39:31.323,,,,,,,,,,,,,,,356.4630,145.3247,-6.3161,385.0000,-22.18,0.94,459.3,,,,,,,
2,0,1758015571428181240,2025-09-16 17:39:31.428,,,,,,,,437.6535,-357.0687,-219.5389,606.0000,39.21,21.24,420.5,,,,,,,,,,,,,,
2,0,1758015571480623342,2025-09-16 17:39:31.480,,,,,,,,,,,,,,,281.3307,227.2486,119.8836,381.0000,-38.93,-18.34,458.8,,,,,,,
2,0,1758015571546806978,2025-09-16 17:39:31.546,690.0997,146.1818,60.4752,708.0000,-11.96,-4.90,447.8,,,,,,,,,,,,,,,,,,,,,
2,0,1758015571607743879,2025-09-16 17:39:31.607,,,,,,,,474.7490,-346.3452,-227.0647,630.0000,36.11,21.13,444.0,,,,,,,,,,,,,,
2,0,1758015571596226752,2025-09-16 17:39:31.596,,,,,,,,,,,,,,,,,,,,,,68.0542,-7.8019,118.6455,137.0000,6.54,-60.00,455.7
2,0,1758015571644346779,2025-09-16 17:39:31.644,,,,,,,,,,,,,,,310.9079,189.7790,101.0161,378.0000,-31.40,-15.50,461.8,,,,,,,
2,0,1758015571707790585,2025-09-16 17:39:31.707,682.1294,128.6431,139.3357,708.0000,-10.68,-11.35,457.1,,,,,,,,,,,,,,,,,,,,,
2,0,1758015571780825766,2025-09-16 17:39:31.780,,,,,,,,508.0817,-347.3700,-189.5339,644.0000,34.36,17.12,450.0,,,,,,,,,,,,,,
2,0,1758015571795817878,2025-09-16 17:39:31.795,,,,,,,,,,,,,,,,,,,,,,68.8044,-9.8082,120.3775,139.0000,8.11,-60.00,493.7
2,0,1758015571808927574,2025-09-16 17:39:31.808,,,,,,,,,,,,,,,299.8916,198.5692,131.6217,383.0000,-33.51,-20.10,480.8,,,,,,,
2,0,1758015571869817109,2025-09-16 17:39:31.869,699.3486,132.9019,13.8798,712.0000,-10.76,-1.12,420.1,,,,,,,,,,,,,,,,,,,,,
2,0,1758015571965827843,2025-09-16 17:39:31.965,,,,,,,,429.6120,-411.8392,-200.5142,628.0000,43.79,18.62,406.1,,,,,,,,,,,,,,
2,0,1758015571966254128,2025-09-16 17:39:31.966,,,,,,,,,,,,,,,328.0082,186.9409,112.6930,394.0000,-29.68,-16.62,468.4,,,,,,,
2,0,1758015572031807040,2025-09-16 17:39:32.031,709.8075,65.7219,-14.9319,713.0000,-5.29,1.20,454.2,,,,,,,,,,,,,,,,,,,,,
