coord_x,coord_y,timestamp_unix_ns,timestamp_readable,anchor_0_local_x,anchor_0_local_y,anchor_0_local_z,anchor_0_distance_m,anchor_0_azimuth_deg,anchor_0_elevation_deg,anchor_0_data_age_ms,anchor_1_local_x,anchor_1_local_y,anchor_1_local_z,anchor_1_distance_m,anchor_1_azimuth_deg,anchor_1_elevation_deg,anchor_1_data_age_ms,anchor_2_local_x,anchor_2_local_y,anchor_2_local_z,anchor_2_distance_m,anchor_2_azimuth_deg,anchor_2_elevation_deg,anchor_2_data_age_ms,anchor_3_local_x,anchor_3_local_y,anchor_3_local_z,anchor_3_distance_m,anchor_3_azimuth_deg,anchor_3_elevation_deg,anchor_3_data_age_ms
2,0,1758015583847347975,2025-09-16 17:39:43.847,,,,,,,,445.3494,-405.8054,-95.3199,610.0000,42.34,8.99,408.9,,,,,,,,,,,,,,
2,0,1758015583858066240,2025-09-16 17:39:43.858,674.7000,194.7421,32.6256,703.0000,-16.10,-2.66,457.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015583869535325,2025-09-16 17:39:43.869,,,,,,,,,,,,,,,,,,,,,,73.4999,-27.5683,-135.9660,157.0000,20.56,60.00,445.7
2,0,1758015583958403388,2025-09-16 17:39:43.958,,,,,,,,,,,,,,,250.3998,251.3807,-133.2241,379.0000,-45.11,20.58,459.1,,,,,,,
2,0,1758015584020127199,2025-09-16 17:39:44.020,672.4249,207.1476,44.2673,705.0000,-17.12,-3.60,443.4,,,,,,,,,,,,,,,,,,,,,
2,0,1758015584071804260,2025-09-16 17:39:44.071,,,,,,,,,,,,,,,,,,,,,,72.6616,-31.0048,-136.8320,158.0000,23.11,60.00,446.0
2,0,1758015584120306205,2025-09-16 17:39:44.120,,,,,,,,,,,,,,,249.4516,242.5810,-142.4933,376.0000,-44.20,22.27,458.6,,,,,,,
2,0,1758015584207654543,2025-09-16 17:39:44.207,,,,,,,,438.1106,-410.4071,-96.3801,608.0000,43.13,9.12,430.5,,,,,,,,,,,,,,
2,0,1758015584263662717,2025-09-16 17:39:44.263,,,,,,,,,,,,,,,,,,,,,,75.8995,-25.0279,-135.1365,157.0000,18.25,59.40,442.2
2,0,1758015584278540634,2025-09-16 17:39:44.278,,,,,,,,,,,,,,,263.8115,228.2790,-140.2434,376.0000,-40.87,21.90,486.4,,,,,,,
2,0,1758015584344145335,2025-09-16 17:39:44.344,686.6305,172.4697,-7.5376,708.0000,-14.10,0.61,420.9,,,,,,,,,,,,,,,,,,,,,
2,0,1758015584445270099,2025-09-16 17:39:44.445,,,,,,,,,,,,,,,253.7136,241.6082,-133.7156,375.0000,-43.60,20.89,457.8,,,,,,,
2,0,1758015584506135273,2025-09-16 17:39:44.506,673.2610,202.6285,35.7401,704.0000,-16.75,-2.91,453.9,,,,,,,,,,,,,,,,,,,,,
2,0,1758015584570254474,2025-09-16 17:39:44.570,,,,,,,,434.2417,-410.3549,-88.6513,604.0000,43.38,8.44,446.1,,,,,,,,,,,,,,
2,0,1758015584603082146,2025-09-16 17:39:44.603,,,,,,,,,,,,,,,252.2173,230.0640,-152.7513,374.0000,-42.37,24.11,475.0,,,,,,,
2,0,1758015584664789102,2025-09-16 17:39:44.664,,,,,,,,,,,,,,,,,,,,,,79.8777,-23.4033,-134.2976,158.0000,16.33,58.21,460.6
2,0,1758015584747717233,2025-09-16 17:39:44.747,,,,,,,,453.9435,-396.1537,-101.5803,611.0000,41.11,9.57,433.8,,,,,,,,,,,,,,
2,0,1758015584766365924,2025-09-16 17:39:44.766,,,,,,,,,,,,,,,248.2601,236.9940,-155.9800,377.0000,-43.67,24.44,462.8,,,,,,,
2,0,1758015584830109131,2025-09-16 17:39:44.830,673.9757,202.7154,-16.7089,704.0000,-16.74,1.36,450.0,,,,,,,,,,,,,,,,,,,,,
2,0,1758015584863607545,2025-09-16 17:39:44.863,,,,,,,,,,,,,,,,,,,,,,80.6174,-26.3825,-127.3334,153.0000,18.12,56.33,466.7
2,0,1758015584919629302,2025-09-16 17:39:44.919,,,,,,,,441.6889,-406.5808,-96.2649,608.0000,42.63,9.11,410.8,,,,,,,,,,,,,,
2,0,1758015584930855145,2025-09-16 17:39:44.930,,,,,,,,,,,,,,,250.3620,237.2527,-147.1565,375.0000,-43.46,23.11,454.8,,,,,,,
2,0,1758015584992140144,2025-09-16 17:39:44.992,683.3426,188.4806,14.1059,709.0000,-15.42,-1.14,454.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015585062951302,2025-09-16 17:39:45.062,,,,,,,,,,,,,,,,,,,,,,73.2461,-26.8144,-135.1000,156.0000,20.11,60.00,445.1
2,0,1758015585088162144,2025-09-16 17:39:45.088,,,,,,,,,,,,,,,250.9451,248.3308,-123.4275,374.0000,-44.70,19.27,472.0,,,,,,,
2,0,1758015585154138804,2025-09-16 17:39:45.154,684.8227,186.7041,16.1080,710.0000,-15.25,-1.30,464.4,,,,,,,,,,,,,,,,,,,,,
2,0,1758015585287304610,2025-09-16 17:39:45.287,,,,,,,,445.6297,-403.2228,-98.5216,609.0000,42.14,9.31,405.6,,,,,,,,,,,,,,
2,0,1758015585254792055,2025-09-16 17:39:45.254,,,,,,,,,,,,,,,245.5255,250.1104,-136.1544,376.0000,-45.53,21.23,489.5,,,,,,,
2,0,1758015585316130815,2025-09-16 17:39:45.316,675.9881,193.8365,32.9175,704.0000,-16.00,-2.68,428.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015585468398301,2025-09-16 17:39:45.468,,,,,,,,440.3548,-408.3444,-94.9025,608.0000,42.84,8.98,408.7,,,,,,,,,,,,,,
2,0,1758015585478135216,2025-09-16 17:39:45.478,677.1929,187.0387,58.7476,705.0000,-15.44,-4.78,446.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015585453669702,2025-09-16 17:39:45.453,,,,,,,,,,,,,,,,,,,,,,72.2037,-32.0566,-136.8320,158.0000,23.94,60.00,470.9
2,0,1758015585578676151,2025-09-16 17:39:45.578,,,,,,,,,,,,,,,246.6372,240.0956,-138.4385,371.0000,-44.23,21.91,459.3,,,,,,,
2,0,1758015585640120764,2025-09-16 17:39:45.640,675.2063,179.1539,87.2715,704.0000,-14.86,-7.12,444.3,,,,,,,,,,,,,,,,,,,,,
2,0,1758015585654875496,2025-09-16 17:39:45.654,,,,,,,,,,,,,,,,,,,,,,85.1387,-28.6193,-128.7685,157.0000,18.58,55.10,481.8
2,0,1758015585740516247,2025-09-16 17:39:45.740,,,,,,,,,,,,,,,246.6798,242.4115,-137.0027,372.0000,-44.50,21.61,457.4,,,,,,,
2,0,1758015585827067358,2025-09-16 17:39:45.827,,,,,,,,475.0643,-372.5650,-52.3949,606.0000,38.10,4.96,432.2,,,,,,,,,,,,,,
