coord_x,coord_y,position,total_msgs_per_sec,min_anchor_msgs_per_sec
2,0,A,18.52,3.98
2,0,B,21.29,4.38
2,0,C,18.32,3.78
2,0,D,13.54,3.58
2,0,E,8.16,3.38
2,0,F,9.95,0.60
2,0,G,17.90,3.78
2,0,H,17.91,3.78
4,0,A,18.11,3.78
4,0,B,17.91,3.78
4,0,C,15.12,1.19
4,0,D,14.32,3.98
4,0,E,11.74,2.39
4,0,F,17.32,3.38
4,0,G,16.92,3.58
4,0,H,18.51,3.58
6,0,A,17.11,3.58
6,0,B,17.12,3.58
6,0,C,13.74,4.18
6,0,D,13.74,3.98
6,0,E,7.96,2.79
6,0,F,11.94,3.38
6,0,G,17.91,3.98
6,0,H,17.91,3.98
8,3,A,17.72,3.58
8,3,B,12.93,0.60
8,3,C,10.35,0.60
8,3,D,8.16,3.38
8,3,E,12.74,0.40
8,3,F,17.33,3.78
8,3,G,17.71,3.98
8,3,H,18.12,3.98
8,7,A,17.72,3.98
8,7,B,15.33,3.78
8,7,C,10.75,1.00
8,7,D,16.13,2.39
8,7,E,17.92,3.78
8,7,F,18.72,4.38
8,7,G,18.32,3.78
8,7,H,17.92,3.98
6,10,A,15.51,2.39
6,10,B,17.72,3.38
6,10,C,18.12,3.38
6,10,D,19.11,3.58
6,10,E,18.52,3.98
6,10,F,18.51,3.78
6,10,G,15.91,3.58
6,10,H,14.12,3.98
4,10,A,14.13,2.19
4,10,B,17.31,3.58
4,10,C,18.12,3.78
4,10,D,18.52,3.98
4,10,E,18.11,3.98
4,10,F,18.52,3.98
4,10,G,19.12,3.98
4,10,H,15.52,1.99
2,10,A,17.92,3.38
2,10,B,18.71,3.78
2,10,C,19.51,3.98
2,10,D,18.12,3.78
2,10,E,18.71,3.78
2,10,F,15.13,2.59
2,10,G,12.54,3.18
2,10,H,13.33,3.58
0,7,A,13.53,1.19
0,7,B,17.89,3.38
0,7,C,17.91,3.78
0,7,D,18.51,3.78
0,7,E,16.72,2.98
0,7,F,8.56,1.00
0,7,G,9.55,1.59
0,7,H,13.73,3.78
0,3,A,17.93,3.98
0,3,B,17.92,3.78
0,3,C,17.92,3.78
0,3,D,17.92,3.78
0,3,E,14.93,1.99
0,3,F,13.94,3.78
0,3,G,18.50,4.18
0,3,H,17.92,3.78
